model,layer_range,multiplier,sarcasm,wit,cynicism,exaggeration,meta,n
gemma,0-20,2.0,3.0,3.79,2.71,2.57,2.71,14
gemma,0-20,3.0,3.1499999999999995,3.8500000000000005,3.0,2.8500000000000005,2.54,13
gemma,40-60,2.0,6.929999999999999,6.47,5.73,6.2,3.6,15
gemma,40-60,3.0,8.2,7.47,6.87,7.6,4.13,15
llama,0-20,2.0,7.222222222222222,6.555555555555555,5.444444444444445,5.333333333333333,2.888888888888889,9
llama,0-20,3.0,7.666666666666667,6.666666666666667,6.0,6.222222222222222,3.2222222222222223,9
llama,40-60,2.0,6.333333333333333,6.333333333333333,4.444444444444445,5.0,2.4444444444444446,9
llama,40-60,3.0,7.777777777777778,6.777777777777778,5.444444444444445,5.666666666666667,3.111111111111111,9
